ReportingCountry,Group,"Vaccine brand",Week,"Group population","Doses received","First dose","Second dose","Unknown dose","Refused first doses",NumberDosesAdministered,"First dose uptake (%)","Second dose uptake (%)","Unknown dose uptake (%)","Total doses","Uptake any dose (%)"
Finland,ALL,COM,2020-52,4476235,9750,24,0,,,24,0,0,,,0
Finland,ALL,MOD,2020-52,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,AZ,2020-52,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,UNK,2020-52,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,COM,2020-53,4476235,36075,5515,0,,,5515,0.1,0,,,0.1
Finland,ALL,MOD,2020-53,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,AZ,2020-53,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,UNK,2020-53,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,COM,2021/01/01,4476235,45825,15264,0,,,15264,0.3,0,,,0.3
Finland,ALL,MOD,2021/01/01,4476235,,1,0,,,1,0,0,,,0
Finland,ALL,AZ,2021/01/01,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,UNK,2021/01/01,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,COM,2021/02/01,4476235,45825,39920,0,,,39920,0.9,0,,,0.9
Finland,ALL,MOD,2021/02/01,4476235,4800,0,0,,,0,0,0,,,0
Finland,ALL,AZ,2021/02/01,4476235,,2,0,,,2,0,0,,,0
Finland,ALL,UNK,2021/02/01,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,COM,2021/03/01,4476235,43290,50872,4853,,,55725,1.1,0.108417006703178,,,1.2
Finland,ALL,MOD,2021/03/01,4476235,,913,0,,,913,0,0,,,0
Finland,ALL,AZ,2021/03/01,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,UNK,2021/03/01,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,COM,2021/04/01,4476235,40950,38233,14560,,,52793,0.9,0.325273360312852,,,1.2
Finland,ALL,MOD,2021/04/01,4476235,6000,2553,0,,,2553,0.1,0,,,0.1
Finland,ALL,AZ,2021/04/01,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,UNK,2021/04/01,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,COM,2021/05/01,4476235,47970,21447,32750,,,54197,0.5,0.731641658670736,,,1.2
Finland,ALL,MOD,2021/05/01,4476235,,845,0,,,845,0,0,,,0
Finland,ALL,AZ,2021/05/01,4476235,24000,0,0,,,0,0,0,,,0
Finland,ALL,UNK,2021/05/01,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,COM,2021/06/01,4476235,47970,34267,16163,,,50430,0.8,0.361084706231911,,,1.1
Finland,ALL,MOD,2021/06/01,4476235,12000,1148,0,,,1148,0,0,,,0
Finland,ALL,AZ,2021/06/01,4476235,26400,3906,1,,,3907,0.1,2.23402033181904E-05,,,0.1
Finland,ALL,UNK,2021/06/01,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,COM,2021/07/01,4476235,60840,53252,6205,,,59457,1.2,0.138620961589371,,,1.3
Finland,ALL,MOD,2021/07/01,4476235,,4500,1,,,4501,0.1,2.23402033181904E-05,,,0.1
Finland,ALL,AZ,2021/07/01,4476235,45600,19967,3,,,19970,0.4,6.70206099545712E-05,,,0.4
Finland,ALL,UNK,2021/07/01,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,COM,2021/08/01,4476235,59670,53906,8268,,,62174,1.2,0.184708801034798,,,1.4
Finland,ALL,MOD,2021/08/01,4476235,22600,8526,3,,,8529,0.2,6.70206099545712E-05,,,0.2
Finland,ALL,AZ,2021/08/01,4476235,43200,31547,3,,,31550,0.7,6.70206099545712E-05,,,0.7
Finland,ALL,UNK,2021/08/01,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,COM,2021/09/01,4476235,64350,62547,3141,,,65688,1.4,0.070170578622436,,,1.5
Finland,ALL,MOD,2021/09/01,4476235,200,7598,68,,,7666,0.2,0.00151913382563695,,,0.2
Finland,ALL,AZ,2021/09/01,4476235,57600,39912,4,,,39916,0.9,8.93608132727616E-05,,,0.9
Finland,ALL,UNK,2021/09/01,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,COM,2021/10/01,4476235,133380,67313,676,,,67989,1.5,0.0151019774430967,,,1.5
Finland,ALL,MOD,2021/10/01,4476235,,11171,187,,,11358,0.2,0.0041776180205016,,,0.3
Finland,ALL,AZ,2021/10/01,4476235,31200,44037,8,,,44045,1,0.000178721626545523,,,1
Finland,ALL,UNK,2021/10/01,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,COM,2021/11/01,4476235,,77674,1051,,,78725,1.7,0.0234795536874181,,,1.8
Finland,ALL,MOD,2021/11/01,4476235,31200,3629,3,,,3632,0.1,6.70206099545712E-05,,,0.1
Finland,ALL,AZ,2021/11/01,4476235,14400,44126,85,,,44211,1,0.00189891728204618,,,1
Finland,ALL,UNK,2021/11/01,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,COM,2021/12/01,4476235,112320,98203,924,,,99127,2.2,0.0206423478660079,,,2.2
Finland,ALL,MOD,2021/12/01,4476235,,9864,4,,,9868,0.2,8.93608132727616E-05,,,0.2
Finland,ALL,AZ,2021/12/01,4476235,12000,63,3,,,66,0,6.70206099545712E-05,,,0
Finland,ALL,UNK,2021/12/01,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,COM,2021-13,4476235,114660,97639,1212,,,98851,2.2,0.0270763264216468,,,2.2
Finland,ALL,MOD,2021-13,4476235,45600,16724,18,,,16742,0.4,0.000402123659727427,,,0.4
Finland,ALL,AZ,2021-13,4476235,122400,17244,12,,,17256,0.4,0.000268082439818285,,,0.4
Finland,ALL,UNK,2021-13,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,COM,2021-14,4476235,149760,114053,6221,,,120274,2.5,0.138978404842462,,,2.7
Finland,ALL,MOD,2021-14,4476235,,11847,26,,,11873,0.3,0.00058084528627295,,,0.3
Finland,ALL,AZ,2021-14,4476235,,40751,23,,,40774,0.9,0.000513824676318379,,,0.9
Finland,ALL,UNK,2021-14,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,COM,2021-15,4476235,149760,127188,28497,,,155685,2.8,0.636628773958472,,,3.5
Finland,ALL,MOD,2021-15,4476235,,20766,1218,,,21984,0.5,0.0272103676415559,,,0.5
Finland,ALL,AZ,2021-15,4476235,14400,55277,68,,,55345,1.2,0.00151913382563695,,,1.2
Finland,ALL,UNK,2021-15,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,COM,2021-16,4476235,150930,140830,27227,,,168057,3.1,0.60825671574437,,,3.8
Finland,ALL,MOD,2021-16,4476235,38400,12083,2362,,,14445,0.3,0.0527675602375657,,,0.3
Finland,ALL,AZ,2021-16,4476235,40800,36708,72,,,36780,0.8,0.00160849463890971,,,0.8
Finland,ALL,UNK,2021-16,4476235,,0,0,,,0,0,0,,,0
