ReportingCountry,Group,"Vaccine brand",Week,"Group population","Doses received","First dose","Second dose","Unknown dose","Refused first doses",NumberDosesAdministered,"First dose uptake (%)","Second dose uptake (%)","Unknown dose uptake (%)","Total doses","Uptake any dose (%)"
Germany,ALL,COM,2020-52,69488809,151125,23986,13,,,23999,0,1.87080483707815E-05,,,0
Germany,ALL,COM,2020-53,69488809,1174875,275617,1326,,,276943,0.4,0.00190822093381972,,,0.4
Germany,ALL,COM,2021/01/01,69488809,687375,379530,474,,,380004,0.5,0.000682124225211573,,,0.5
Germany,ALL,COM,2021/02/01,69488809,0,509928,19308,,,529236,0.7,0.0277857690725423,,,0.8
Germany,ALL,MOD,2021/02/01,69488809,63600,13900,44,,,13944,0,6.3319548331876E-05,,,0
Germany,ALL,COM,2021/03/01,69488809,842400,414965,247681,,,662646,0.6,0.35643293296335,,,1
Germany,ALL,MOD,2021/03/01,69488809,0,15630,3,,,15633,0,4.31724193171882E-06,,,0
Germany,ALL,COM,2021/04/01,69488809,489060,304135,332999,,,637134,0.4,0.479212415340145,,,0.9
Germany,ALL,MOD,2021/04/01,69488809,90000,9582,41,,,9623,0,5.90023064001572E-05,,,0
Germany,ALL,COM,2021/05/01,69488809,747630,362876,451066,,,813942,0.5,0.649120349724227,,,1.2
Germany,ALL,MOD,2021/05/01,69488809,0,28650,6,,,28656,0,8.63448386343764E-06,,,0
Germany,ALL,COM,2021/06/01,69488809,747630,365842,409814,,,775656,0.5,0.589755395001805,,,1.1
Germany,ALL,MOD,2021/06/01,69488809,0,22467,12014,,,34481,0,0.01728911485589,,,0
Germany,ALL,AZ,2021/06/01,69488809,736800,57157,37,,,57194,0.1,5.32459838245321E-05,,,0.1
Germany,ALL,COM,2021/07/01,69488809,904410,399298,321979,,,721277,0.6,0.463353746644298,,,1
Germany,ALL,MOD,2021/07/01,69488809,182400,27964,16055,,,44019,0,0.0231044397379152,,,0.1
Germany,ALL,AZ,2021/07/01,69488809,715200,143983,49,,,144032,0.2,7.05149515514074E-05,,,0.2
Germany,ALL,COM,2021/08/01,69488809,926640,459989,358263,,,818252,0.7,0.515569348727793,,,1.2
Germany,ALL,MOD,2021/08/01,69488809,343200,38361,9365,,,47726,0.1,0.0134769902301822,,,0.1
Germany,ALL,AZ,2021/08/01,69488809,0,293265,117,,,293382,0.4,0.000168372435337034,,,0.4
Germany,ALL,COM,2021/09/01,69488809,1014390,549237,359814,,,909051,0.8,0.517801362806492,,,1.3
Germany,ALL,MOD,2021/09/01,69488809,0,50285,25839,,,76124,0.1,0.0371844047578942,,,0.1
Germany,ALL,AZ,2021/09/01,69488809,650400,539241,247,,,539488,0.8,0.000355452919044849,,,0.8
Germany,ALL,COM,2021/10/01,69488809,1083420,570438,369264,,,939702,0.8,0.531400674891406,,,1.4
Germany,ALL,MOD,2021/10/01,69488809,0,59899,21117,,,81016,0.1,0.0303890659573688,,,0.1
Germany,ALL,AZ,2021/10/01,69488809,960000,775581,552,,,776133,1.1,0.000794372515436263,,,1.1
