ReportingCountry,Group,"Vaccine brand",Week,"Group population","Doses received","First dose","Second dose","Unknown dose","Refused first doses",NumberDosesAdministered,"First dose uptake (%)","Second dose uptake (%)","Unknown dose uptake (%)","Total doses","Uptake any dose (%)"
Hungary,ALL,COM,2020-52,8060478,9750,1097,0,,,1097,0,0,,,0
Hungary,ALL,COM,2020-53,8060478,69225,10759,0,,,10759,0.1,0,,,0.1
Hungary,ALL,COM,2021/01/01,8060478,78975,60190,14,,,60204,0.7,0.000173686969929079,,,0.7
Hungary,ALL,MOD,2021/02/01,8060478,7200,3062,0,,,3062,0,0,,,0
Hungary,ALL,COM,2021/02/01,8060478,94770,48030,716,,,48746,0.6,0.00888284789065859,,,0.6
Hungary,ALL,MOD,2021/03/01,8060478,0,69,2,,,71,0,2.48124242755827E-05,,,0
Hungary,ALL,COM,2021/03/01,8060478,71370,21953,10782,,,32735,0.3,0.133763779269666,,,0.4
Hungary,ALL,MOD,2021/04/01,8060478,10800,198,14,,,212,0,0.000173686969929079,,,0
Hungary,ALL,COM,2021/04/01,8060478,72540,89221,58212,,,147433,1.1,0.722190420965109,,,1.8
Hungary,ALL,SPU,2021/05/01,8060478,40000,0,0,,,0,0,0,,,0
Hungary,ALL,MOD,2021/05/01,8060478,0,11097,139,,,11236,0.1,0.001724463487153,,,0.1
Hungary,ALL,COM,2021/05/01,8060478,85410,33345,49807,,,83152,0.4,0.617916207946973,,,1
Hungary,ALL,AZ,2021/05/01,8060478,40800,1,0,,,1,0,0,,,0
Hungary,ALL,MOD,2021/06/01,8060478,21600,243,2723,,,2966,0,0.0337821156512058,,,0
Hungary,ALL,SPU,2021/06/01,8060478,0,2428,12,,,2440,0,0.000148874545653496,,,0
Hungary,ALL,COM,2021/06/01,8060478,85410,35235,22731,,,57966,0.4,0.282005608104135,,,0.7
Hungary,ALL,AZ,2021/06/01,8060478,45600,20097,212,,,20309,0.2,0.00263011697321176,,,0.3
Hungary,ALL,BECNBG,2021/07/01,8060478,550000,0,0,,,0,0,0,,,0
Hungary,ALL,MOD,2021/07/01,8060478,0,3458,322,,,3780,0,0.00399480030836881,,,0
Hungary,ALL,SPU,2021/07/01,8060478,0,16164,42,,,16206,0.2,0.000521060909787236,,,0.2
Hungary,ALL,COM,2021/07/01,8060478,102960,53115,85570,,,138685,0.7,1.0615995726308,,,1.7
Hungary,ALL,AZ,2021/07/01,8060478,83500,23352,368,,,23720,0.3,0.00456548606670721,,,0.3
Hungary,ALL,BECNBG,2021/08/01,8060478,0,162046,1407,,,163453,2,0.0174555404778724,,,2
Hungary,ALL,MOD,2021/08/01,8060478,40800,1163,159,,,1322,0,0.00197258772990882,,,0
Hungary,ALL,SPU,2021/08/01,8060478,0,868,2,,,870,0,2.48124242755827E-05,,,0
Hungary,ALL,COM,2021/08/01,8060478,104130,54022,34042,,,88064,0.7,0.422332273594693,,,1.1
Hungary,ALL,AZ,2021/08/01,8060478,74400,41558,539,,,42097,0.5,0.00668694834226953,,,0.5
Hungary,ALL,MOD,2021/09/01,8060478,0,25912,10942,,,36854,0.3,0.135748773211713,,,0.5
Hungary,ALL,BECNBG,2021/09/01,8060478,0,201631,1900,,,203531,2.5,0.0235718030618035,,,2.5
Hungary,ALL,SPU,2021/09/01,8060478,100000,1018,2374,,,3392,0,0.0294523476151166,,,0
Hungary,ALL,COM,2021/09/01,8060478,114660,72406,34942,,,107348,0.9,0.433497864518705,,,1.3
Hungary,ALL,AZ,2021/09/01,8060478,105600,16583,63,,,16646,0.2,0.000781591364680854,,,0.2
Hungary,ALL,AZ,2021/10/01,8060478,55200,117515,19487,,,137002,1.5,0.24175985592914,,,1.7
Hungary,ALL,COM,2021/10/01,8060478,120510,67634,52111,,,119745,0.8,0.646500120712444,,,1.5
Hungary,ALL,SPU,2021/10/01,8060478,0,16549,15816,,,32365,0.2,0.196216651171308,,,0.4
Hungary,ALL,MOD,2021/10/01,8060478,0,14746,546,,,15292,0.2,0.00677379182723407,,,0.2
Hungary,ALL,BECNBG,2021/10/01,8060478,0,123126,1122,,,124248,1.5,0.0139197700186019,,,1.5
Hungary,ALL,AZ,2021/11/01,8060478,21600,36977,22412,,,59389,0.5,0.278048026432179,,,0.7
Hungary,ALL,COM,2021/11/01,8060478,120510,110399,53310,,,163709,1.4,0.661375169065656,,,2
Hungary,ALL,SPU,2021/11/01,8060478,250280,87743,1115,,,88858,1.1,0.0138329265336373,,,1.1
Hungary,ALL,MOD,2021/11/01,8060478,54000,1393,3307,,,4700,0,0.0410273435396759,,,0.1
Hungary,ALL,BECNBG,2021/11/01,8060478,450000,12475,238,,,12713,0.2,0.00295267848879434,,,0.2
Hungary,ALL,AZ,2021/12/01,8060478,21600,60708,39077,,,99785,0.8,0.484797551708472,,,1.2
Hungary,ALL,COM,2021/12/01,8060478,167310,154643,2380,,,157023,1.9,0.0295267848879434,,,1.9
Hungary,ALL,SPU,2021/12/01,8060478,29720,89649,1084,,,90733,1.1,0.0134483339573658,,,1.1
Hungary,ALL,MOD,2021/12/01,8060478,0,3959,1133,,,5092,0,0.0140562383521176,,,0.1
Hungary,ALL,BECNBG,2021/12/01,8060478,100000,19610,163409,,,183019,0.2,2.02728671922434,,,2.3
Hungary,ALL,AZ,2021-13,8060478,218400,28476,1269,,,29745,0.4,0.0157434832028572,,,0.4
Hungary,ALL,COM,2021-13,8060478,168480,213489,3782,,,217271,2.6,0.0469202943051268,,,2.7
Hungary,ALL,SPU,2021-13,8060478,409700,143012,11972,,,154984,1.8,0.148527171713638,,,1.9
Hungary,ALL,MOD,2021-13,8060478,81600,41791,24301,,,66092,0.5,0.301483361160467,,,0.8
Hungary,ALL,BECNBG,2021-13,8060478,0,15802,183619,,,199421,0.2,2.27801626652911,,,2.5
Hungary,ALL,AZ,2021-14,8060478,0,160540,2916,,,163456,2,0.0361765145937995,,,2
Hungary,ALL,COM,2021-14,8060478,246870,132732,72468,,,205200,1.6,0.899053381201462,,,2.5
Hungary,ALL,SPU,2021-14,8060478,270300,202491,87237,,,289728,2.5,1.0822807282645,,,3.6
Hungary,ALL,MOD,2021-14,8060478,0,38089,16060,,,54149,0.5,0.199243766932929,,,0.7
Hungary,ALL,BECNBG,2021-14,8060478,0,4580,123001,,,127581,0.1,1.52597649916047,,,1.6
Hungary,ALL,AZ,2021-15,8060478,28800,45669,1325,,,46994,0.6,0.0164382310825735,,,0.6
Hungary,ALL,COM,2021-15,8060478,248040,152170,64355,,,216525,1.9,0.798401782127561,,,2.7
Hungary,ALL,SPU,2021-15,8060478,119100,161089,89251,,,250340,2,1.10726683951001,,,3.1
Hungary,ALL,MOD,2021-15,8060478,0,1272,1418,,,2690,0,0.0175920088113881,,,0
Hungary,ALL,BECNBG,2021-15,8060478,0,2060,15326,,,17386,0,0.19013760722379,,,0.2
Hungary,ALL,JANSS,2021-15,8060478,28800,0,0,,,0,0,0,,,0
Hungary,ALL,AZ,2021-16,8060478,72000,25524,781,,,26305,0.3,0.00968925167961503,,,0.3
Hungary,ALL,COM,2021-16,8060478,248040,210833,111076,,,321909,2.6,1.37803241941731,,,4
Hungary,ALL,SPU,2021-16,8060478,100900,37465,136116,,,173581,0.5,1.6886839713476,,,2.2
Hungary,ALL,MOD,2021-16,8060478,68400,58329,4833,,,63162,0.7,0.0599592232619455,,,0.8
Hungary,ALL,BECNBG,2021-16,8060478,600000,2027,19333,,,21360,0,0.23984929925992,,,0.3
Hungary,ALL,JANSS,2021-16,8060478,0,0,0,,,0,0,0,,,0
Hungary,ALL,AZ,2021-17,8060478,343200,5238,648,,,5886,0.1,0.00803922546528878,,,0.1
Hungary,ALL,COM,2021-17,8060478,355680,126854,153419,,,280273,1.6,1.90334865996781,,,3.5
Hungary,ALL,SPU,2021-17,8060478,480000,4742,202734,,,207476,0.1,2.51516101154299,,,2.6
Hungary,ALL,MOD,2021-17,8060478,82800,5508,40301,,,45809,0.1,0.499982755365128,,,0.6
Hungary,ALL,BECNBG,2021-17,8060478,400000,328135,19195,,,347330,4.1,0.238137241984905,,,4.3
Hungary,ALL,JANSS,2021-17,8060478,0,0,0,,,0,0,0,,,0
Hungary,ALL,AZ,2021-18,8060478,0,41560,8774,,,50334,0.5,0.108852105296981,,,0.6
Hungary,ALL,COM,2021-18,8060478,355680,43746,206393,,,250139,0.5,2.56055534175517,,,3.1
Hungary,ALL,SPU,2021-18,8060478,0,60414,160906,,,221320,0.7,1.99623397024345,,,2.7
Hungary,ALL,MOD,2021-18,8060478,64800,6753,37523,,,44276,0.1,0.465518298046344,,,0.5
Hungary,ALL,BECNBG,2021-18,8060478,0,68216,5718,,,73934,0.8,0.0709387210038908,,,0.9
Hungary,ALL,JANSS,2021-18,8060478,24000,3083,3083,,,3083,0,0.0382483520208107,,,0
Hungary,ALL,AZ,2021-19,8060478,67200,6216,31630,,,37846,0.1,0.39240848991834,,,0.5
Hungary,ALL,COM,2021-19,8060478,334620,96149,129520,,,225669,1.2,1.60685259608673,,,2.8
